i,j,value
7,22,0.710501
7,23,0.712777
7,24,0.714067
7,25,0.714468
7,26,0.714078
7,27,0.712995
7,28,0.711314
7,29,0.709125
7,30,0.706512
7,31,0.70355
7,32,0.700307
7,33,0.696843
7,34,0.693209
7,35,0.689445
7,36,0.685586
7,37,0.681658
7,38,0.67768
7,39,0.673663
7,40,0.669613
7,41,0.665529
7,42,0.661402
7,43,0.657222
7,44,0.658339
7,45,0.660471
7,46,0.66262
7,47,0.664759
7,48,0.666862
7,49,0.668903
7,50,0.670853
7,51,0.672686
7,52,0.674375
7,53,0.675897
7,54,0.677227
7,55,0.678345
7,56,0.679234
7,57,0.679877
7,58,0.680263
7,59,0.680382
7,60,0.680229
7,61,0.679799
7,62,0.679091
7,63,0.678108
7,64,0.67685
7,65,0.675322
7,66,0.673528
7,67,0.67322
7,68,0.677077
7,69,0.680557
7,70,0.683675
7,71,0.686446
7,72,0.688879
7,73,0.690975
7,74,0.692734
7,75,0.694149
7,76,0.695205
7,77,0.695885
7,78,0.696166
7,79,0.696017
7,80,0.695405
7,81,0.694292
7,82,0.692637
7,83,0.690395
7,84,0.687519
7,85,0.683962
7,86,0.679677
7,87,0.674617
7,88,0.668738
7,89,0.661998
7,90,0.65436
7,91,0.64579
7,92,0.636259
7,93,0.625743
7,94,0.614223
7,95,0.601685
7,96,0.588118
7,97,0.573516
7,98,0.557878
7,99,0.541203
8,0,0.500968
8,1,0.51701
8,2,0.532729
8,3,0.548092
8,4,0.56306
8,5,0.577593
8,6,0.591643
8,7,0.605159
8,8,0.618084
8,9,0.630357
8,10,0.641909
8,11,0.65267
8,12,0.662564
8,13,0.671512
8,14,0.679435
8,15,0.686255
8,16,0.691899
8,17,0.696302
8,18,0.699409
8,19,0
8,20,0
8,21,0
8,22,0.731962
8,23,0.733819
8,24,0.734659
8,25,0.73459
8,26,0.733721
8,27,0.732162
8,28,0.730017
8,29,0.727387
8,30,0.724362
8,31,0.721023
8,32,0.717443
8,33,0.713683
8,34,0.709796
8,35,0.705826
8,36,0.701806
8,37,0.697761
8,38,0.693712
8,39,0.689666
8,40,0.685629
8,41,0.681598
8,42,0.677564
8,43,0.675279
8,44,0.677319
8,45,0.679427
8,46,0.681576
8,47,0.683739
8,48,0.685884
8,49,0.687982
8,50,0.690001
8,51,0.691913
8,52,0.693688
8,53,0.695298
8,54,0.69672
8,55,0.69793
8,56,0.698911
8,57,0.699644
8,58,0.70012
8,59,0.700327
8,60,0.700262
8,61,0.699921
8,62,0.699306
8,63,0.698419
8,64,0.697267
8,65,0.695856
8,66,0.694194
8,67,0.692287
8,68,0.695748
8,69,0.699122
8,70,0.702162
8,71,0.704883
8,72,0.707293
8,73,0.709399
8,74,0.711198
8,75,0.712684
8,76,0.713841
8,77,0.714652
8,78,0.715089
8,79,0.715123
8,80,0.714715
8,81,0.713824
8,82,0.712404
8,83,0.710407
8,84,0.70778
8,85,0.704472
8,86,0.700429
8,87,0.695601
8,88,0.68994
8,89,0.683399
8,90,0.675938
8,91,0.667522
8,92,0.658121
8,93,0.647708
8,94,0.636267
8,95,0.623782
8,96,0.610246
8,97,0.595654
8,98,0.580006
8,99,0.563304
9,0,0.512778
9,1,0.529222
9,2,0.545363
9,3,0.561168
9,4,0.576599
9,5,0.591613
9,6,0.606163
9,7,0.620195
9,8,0.63365
9,9,0.646463
9,10,0.65856
9,11,0.669864
9,12,0.680289
9,13,0.689747
9,14,0.698148
9,15,0.705402
9,16,0.71142
9,17,0.716125
9,18,0.719452
9,19,0
9,20,0
9,21,0
9,22,0.752849
9,23,0.754258
9,24,0.754612
9,25,0.754035
9,26,0.75265
9,27,0.75058
9,28,0.747942
9,29,0.744844
9,30,0.741385
9,31,0.737652
9,32,0.733721
9,33,0.729657
9,34,0.725515
9,35,0.721337
9,36,0.717158
9,37,0.713003
9,38,0.708889
9,39,0.704825
9,40,0.700814
9,41,0.69685
9,42,0.692922
9,43,0.69316
9,44,0.695167
9,45,0.697271
9,46,0.699442
9,47,0.701646
9,48,0.703851
9,49,0.706022
9,50,0.708126
9,51,0.710129
9,52,0.712
9,53,0.713709
9,54,0.715229
9,55,0.716536
9,56,0.71761
9,57,0.718433
9,58,0.718994
9,59,0.719284
9,60,0.719298
9,61,0.719035
9,62,0.718499
9,63,0.717695
9,64,0.716633
9,65,0.715321
9,66,0.71377
9,67,0.711993
9,68,0.713633
9,69,0.716891
9,70,0.719842
9,71,0.722504
9,72,0.724888
9,73,0.726999
9,74,0.728838
9,75,0.730396
9,76,0.731659
9,77,0.732607
9,78,0.733212
9,79,0.73344
9,80,0.73325
9,81,0.732597
9,82,0.731431
9,83,0.729696
9,84,0.727336
9,85,0.724294
9,86,0.72051
9,87,0.715928
9,88,0.710495
9,89,0.704162
9,90,0.696884
9,91,0.688623
9,92,0.679349
9,93,0.669035
9,94,0.657664
9,95,0.645223
9,96,0.631705
9,97,0.617109
9,98,0.601435
9,99,0.584691
10,0,0.524024
10,1,0.54087
10,2,0.557436
10,3,0.573688
10,4,0.589589
10,5,0.605097
10,6,0.620163
10,7,0.634733
10,8,0.648744
